1/ 5.050 / 2.015 / 7.050 / 8.015 / 10.000  / 1.000  / 5.100 / 254.621 / 95.145  / 119.406 /  117.683
2/ 5.150 / 2.100 / 7.150 /9.109  / 15.800  / 2.100  / 4.200 / 198.163 / 73.368  / 92.651 /  90.123 
3/ 5.200 / 2.120 / 7.192 /9.125  / 22.500  / 2.500  / 3.500 / 187.411 / 71.084  / 87.691  /  83.576
4/ 5.250 / 2.170 / 7.250 / 9.175 / 25.000  / 3.510  / 2.720 / 167.197 / 63.567  / 78.793  /  74.316
5/ 5.325 / 2.200 / 7.250 / 9.198 / 32.500  / 4.200  / 2.530 / 166.547 / 63.813  / 79.497  /  74.316
6/ 5.350 / 2.250 / 7.350 / 9.251 / 35.000  / 5.020  / 2.100 / 153.789 / 61.378  / 77.082  /  72.187
7/ 5.400 / 2.400 / 7.411 / 9.395 / 40.700  / 8.200  / 1.150 / 110.926 / 55.519  / 67.758  /  77.425
8/ 5.500 / 2.500 / 7.505 / 9.498 / 51.800  / 10.100 / 0.720 / 151.381 / 60.432  / 71.956  /  89.519
9/ 5.600 / 2.600 / 7.610 / 9.598 / 65.000  / 12.800 / 0.540 / 187.364 / 76.283  / 91.123  / 121.374
10/ 5.700 / 2.700 / 7.695 / 9.699 / 72.000  / 14.400 / 0.120 / 236.123 / 93.657  / 112.859 / 149.173
11/ 5.750 / 2.750 / 7.750 / 9.748 / 75.400  / 14.700 / 1.250 / 292.341 / 118.624 / 153.717 / 184.136
12/ 5.800 / 2.775 / 7.804 / 9.775 / 82.800  / 15.500 / 1.760 / 288.324 / 114.324 / 117.965 / 179.152
13/ 5.850 / 2.800 / 7.850 / 9.798 / 85.000  / 16.300 / 2.230 / 326.939 / 128.926 / 155.912 / 201.239
14/ 5.907 / 2.850 / 8.050 / 9.850 / 90.780  / 16.700 / 2.610 / 377.128 / 148.675 / 169.359 / 225.482
15/ 5.910 / 2.855 / 7.910 / 9.855 / 91.000  / 16.900 / 4.160 / 405.327 / 159.761 / 192.924 / 240.976
16/ 5.925 / 2.865 / 7.925 / 9.865 / 92.500  / 17.500 / 5.250 / 458.385 / 180.567 / 218.49  / 275.846
17/ 5.929 / 2.885 / 8.011 / 9.875 / 92.900  / 17.700 / 6.370 / 518.859 / 183.932 / 247.354 / 316.124
18/ 5.933 / 2.915 / 7.933 / 9.899 / 93.500  / 18.200 / 7.260 / 595.737 / 235.124 / 284.167 / 363.928
19/ 5.935 / 2.950 / 7.935 / 9.951 / 94.580  / 19.100 / 7.510 / 506.168 / 261.946 / 316.375 / 403.153
20/ 5.950 / 2.975 / 7.950 / 9.975 / 95.400  / 19.500 / 7.741 / 685.761 / 281.387 / 341.375 / 431.195
21/ 5.010 / 1.995 / 6.950 / 9.015 / 11.500  / 21.000 / 8.140 / 790.639 / 310.519 / 375.615 / 471.588
22/ 5.050 / 2.975 / 7.108 / 9.975 / 10.500  / 19.560 / 8.350 / 723.784 / 285.142 / 334.856 / 436.847
23/ 5.150 / 2.950 / 7.151 / 9.950 / 15.800  / 19.300 / 8.580 / 731.438 / 288.125 / 348.314 / 441.842
